slip_id,date,stake,ticket_odds,ticket_win_prob,ticket_ev,result_return_factor,pnl,hit,bankroll_before,bankroll_after
2026-02-19-001,2026-02-19,5.003589615998634,2.476923076923077,0.4986694996958062,1.1766741133767562,0.0,-5.003589615998634,0,250.1794807999317,245.17589118393306
2026-02-20-001,2026-02-20,4.903517823678661,2.7777777777777772,0.5863781655123007,3.083470470781233,2.7777777777777772,8.717365019873172,1,245.17589118393306,253.89325620380623
2026-02-21-001,2026-02-21,5.077865124076125,2.555555555555555,0.6425456442577999,3.2602996209111232,0.0,-5.077865124076125,0,253.89325620380623,248.81539107973012
2026-02-22-001,2026-02-22,4.976307821594602,2.045454545454546,0.6905870094008157,2.053047139168158,0.0,-4.976307821594602,0,248.81539107973012,243.83908325813553
2026-02-23-001,2026-02-23,4.876781665162711,2.3,0.4771055415208399,0.4747193164809131,2.3,6.339816164711523,1,243.83908325813553,250.17889942284705
2026-02-24-001,2026-02-24,5.003577988456941,2.746153846153846,0.47704772953425095,1.551341628942405,0.0,-5.003577988456941,0,250.17889942284705,245.1753214343901
2026-02-25-001,2026-02-25,4.903506428687802,2.1666666666666665,0.5730837034470708,1.1850860900415365,0.0,-4.903506428687802,0,245.1753214343901,240.2718150057023
2026-02-26-001,2026-02-26,4.805436300114046,1.7045454545454546,0.6617546303038598,0.6150518627792243,1.7045454545454546,3.385648302353078,1,240.2718150057023,243.65746330805538
2026-02-27-001,2026-02-27,4.873149266161108,2.5,0.5058013695404964,1.2889646658377751,0.0,-4.873149266161108,0,243.65746330805538,238.78431404189428
2026-03-01-001,2026-03-01,4.775686280837886,2.022222222222222,0.47480765939186154,-0.19023182140464298,2.022222222222222,4.881812642634283,1,238.78431404189428,243.66612668452856
2026-03-02-001,2026-03-02,4.873322533690572,1.7532467532467533,0.434470793392716,-1.1611445916697356,0.0,-4.873322533690572,0,243.66612668452856,238.79280415083798
2026-03-04-001,2026-03-04,4.77585608301676,2.045454545454546,0.5458583854963274,0.5565234209707599,2.045454545454546,4.992940450426614,1,238.79280415083798,243.78574460126458
