fixture_id,league_code,lambda_home_pred,lambda_away_pred,lambda_total_pred
22409,CH1,1.5485665777115705,1.2999883684564315,2.8485549461680018
19020,N1,1.6562673898650428,1.1038204245743803,2.760087814439423
3048,SC0,1.8468626458388822,1.0076515681197833,2.8545142139586654
4850,I2,1.3593267581291537,1.3396171047341623,2.698943862863316
5868,F1,1.3403512109642748,1.2750532963401935,2.6154045073044685
5869,F1,1.460751164101002,1.1429983801970975,2.6037495442980996
5870,F1,1.5040820770611905,1.0446025007129536,2.548684577774144
3817,D1,1.7766689684162271,0.9335073241926747,2.7101762926089017
19548,P1,1.363631664124071,1.2688586328809588,2.63249029700503
20113,G1,2.1594927696907935,0.8358435455388264,2.99533631522962
21660,PL1,1.5795407794824767,1.0860698341761574,2.665610613658634
4477,I1,1.0794909900571479,1.7124758881056392,2.7919668781627873
21989,RO1,2.1621361646272583,0.8478788958294046,3.010015060456663
564,E0,1.4395568116730086,1.3431793950580968,2.7827362067311054
5096,SP1,1.1772830498047457,1.3695522811706173,2.5468353309753633
5490,SP2,1.5997320517018845,1.3253040131734732,2.925036064875358
5491,SP2,1.2390561621483407,1.2352414999923027,2.4742976621406436
19315,B1,1.4737371860653699,1.4107399800711649,2.8844771661365347
20114,G1,1.525787257397823,1.2729555098453758,2.7987427672431986
19316,B1,1.4155580448921439,1.2399835391455272,2.655541584037671
19021,N1,1.2617393052863042,1.4049598345300975,2.6666991398164015
19549,P1,2.023565518809698,0.9484943954101327,2.9720599142198307
4478,I1,1.1094894508327382,1.5516107583527372,2.6611002091854754
5871,F1,1.3711331627467496,1.5684231075331452,2.939556270279895
5097,SP1,1.5823248194227915,1.2063379733198245,2.788662792742616
5492,SP2,1.4014127381158594,1.2316512110513649,2.6330639491672243
19550,P1,1.0183539300517142,1.6199647612704788,2.638318691322193
21376,MX1,1.2296477690003087,1.2764629916829664,2.506110760683275
19858,T1,1.2039064885949367,1.5134812468034375,2.717387735398374
21990,RO1,1.4037954254244678,1.346522179817226,2.750317605241694
21661,PL1,1.3120357306709458,1.3030097649569032,2.6150454956278493
5493,SP2,1.189019036500389,1.402421667584202,2.591440704084591
4479,I1,1.2357655670280157,1.404601071036272,2.640366638064288
19551,P1,1.1525308581786398,1.627234046680633,2.779764904859273
5098,SP1,1.364786108377209,1.3856159761987608,2.7504020845759696
565,E0,1.5163062395012443,1.0462211508000607,2.5625273903013053
19552,P1,1.2232389083287512,1.424030498533158,2.647269406861909
21991,RO1,1.3362196762937224,1.1351640635215794,2.471383739815302
21992,RO1,1.439842790310985,1.0183257723055266,2.4581685626165113
21993,RO1,1.202067371027066,1.3285957628877303,2.5306631339147962
21662,PL1,1.359619177146978,1.3585688989537221,2.7181880761007005
4480,I1,1.492316360306611,1.1841572124714006,2.6764735727780113
1596,E2,1.358604818792737,1.1081804901881829,2.4667853089809197
1061,E1,1.2722334771722577,1.3214926764819221,2.59372615365418
1062,E1,1.6091144526955232,0.9618051548906104,2.5709196075861334
1063,E1,1.5633753394626435,0.965829117912483,2.5292044573751267
1597,E2,1.2293673636462707,1.247482737311331,2.476850100957602
1598,E2,1.5751833055285462,1.0286723276964111,2.603855633224957
2146,E3,1.7417135792549199,0.994206260810844,2.7359198400657636
2147,E3,1.3588864890845398,1.3582391073465916,2.7171255964311314
2148,E3,1.2811989750524917,1.323702747129104,2.6049017221815958
2149,E3,1.5128715313949113,0.9784700176686801,2.4913415490635913
2698,EC,1.5522866911174067,1.0812573837999158,2.6335440749173227
2699,EC,1.3864276560187392,1.2499912457532407,2.6364189017719797
2700,EC,1.490257173177664,1.2945688228503587,2.7848259960280224
